"","Date","SpotPrice"
"1","20171204","2.91"
"2","20171201","2.84"
"3","20171130","3.06"
"4","20171129","3.06"
"5","20171128","2.88"
"6","20171127","2.88"
"7","20171124","3.05"
"8","20171123","3.05"
"9","20171122","3.05"
"10","20171121","3.05"
"11","20171120","3.04"
"12","20171117","3.04"
"13","20171116","3.09"
"14","20171115","3.16"
"15","20171114","3.06"
"16","20171113","3.13"
"17","20171110","3.17"
"18","20171109","3.18"
"19","20171108","3.16"
"20","20171107","3.07"
"21","20171106","3.01"
"22","20171103","2.75"
"23","20171102","2.68"
"24","20171101","2.68"
"25","20171031","2.84"
"26","20171030","2.94"
"27","20171027","2.78"
"28","20171026","2.91"
"29","20171025","2.98"
"30","20171024","2.95"
"31","20171023","2.95"
"32","20171020","2.8"
"33","20171019","2.83"
"34","20171018","2.81"
"35","20171017","2.88"
"36","20171016","2.87"
"37","20171013","2.99"
"38","20171012","2.95"
"39","20171011","2.89"
"40","20171010","2.89"
"41","20171009","2.87"
"42","20171006","2.93"
"43","20171005","2.8"
"44","20171004","2.8"
"45","20171003","2.73"
"46","20171002","2.94"
"47","20170929","2.94"
"48","20170928","2.96"
"49","20170927","2.98"
"50","20170926","2.96"
"51","20170925","2.96"
"52","20170922","2.93"
"53","20170921","3.11"
"54","20170920","3.13"
"55","20170919","3.18"
"56","20170918","3.11"
"57","20170915","3"
"58","20170914","3.03"
"59","20170913","3.02"
"60","20170912","2.88"
"61","20170911","2.88"
"62","20170908","2.88"
"63","20170907","2.92"
"64","20170906","2.98"
"65","20170905","2.88"
"66","20170904","2.88"
"67","20170901","2.88"
"68","20170831","2.92"
"69","20170830","2.95"
"70","20170829","2.95"
"71","20170828","2.95"
"72","20170825","2.93"
"73","20170824","2.97"
"74","20170823","2.94"
"75","20170822","3"
"76","20170821","3"
"77","20170818","2.9"
"78","20170817","2.91"
"79","20170816","2.94"
"80","20170815","2.96"
"81","20170814","3.02"
"82","20170811","2.96"
"83","20170810","2.89"
"84","20170809","2.81"
"85","20170808","2.81"
"86","20170807","2.8"
"87","20170804","2.76"
"88","20170803","2.76"
"89","20170802","2.8"
"90","20170801","2.8"
"91","20170731","2.87"
"92","20170728","2.96"
"93","20170727","2.95"
"94","20170726","2.92"
"95","20170725","2.99"
"96","20170724","2.99"
"97","20170721","3.06"
"98","20170720","3.12"
"99","20170719","3.11"
"100","20170718","3.11"
"101","20170717","3.04"
"102","20170714","2.94"
"103","20170713","2.96"
"104","20170712","3.01"
"105","20170711","2.98"
"106","20170710","2.92"
"107","20170707","2.91"
"108","20170706","2.89"
"109","20170705","2.98"
"110","20170704","2.98"
"111","20170703","2.98"
"112","20170630","2.98"
"113","20170629","3.07"
"114","20170628","3.03"
"115","20170627","2.99"
"116","20170626","2.98"
"117","20170623","2.89"
"118","20170622","2.88"
"119","20170621","2.91"
"120","20170620","2.91"
"121","20170619","2.87"
"122","20170616","3.01"
"123","20170615","2.94"
"124","20170614","2.95"
"125","20170613","3.12"
"126","20170612","3.12"
"127","20170609","3.03"
"128","20170608","2.98"
"129","20170607","3.06"
"130","20170606","2.92"
"131","20170605","2.92"
"132","20170602","2.85"
"133","20170601","3.05"
"134","20170531","3.05"
"135","20170530","3.1"
"136","20170529","3.1"
"137","20170526","3.1"
"138","20170525","3.1"
"139","20170524","3.22"
"140","20170523","3.22"
"141","20170522","3.24"
"142","20170519","3.11"
"143","20170518","3.13"
"144","20170517","3.27"
"145","20170516","3.27"
"146","20170515","3.26"
"147","20170512","3.24"
"148","20170511","3.23"
"149","20170510","3.03"
"150","20170509","3.03"
"151","20170508","3.06"
"152","20170505","3.1"
"153","20170504","3.11"
"154","20170503","3.14"
"155","20170502","3.13"
"156","20170501","3.2"
"157","20170428","3.2"
"158","20170427","3.13"
"159","20170426","3.06"
"160","20170425","2.99"
"161","20170424","3.06"
"162","20170421","3.06"
"163","20170420","3.13"
"164","20170419","3.11"
"165","20170418","3.11"
"166","20170417","3.09"
"167","20170414","3"
